a0,a1,beta,epsilondelta
0.028261,0.0214157,0.342201,0.0130177,0.158435
0.028261,0.0214157,0.342201,0.0130177,0.158435
0.0241111,0.0287398,0.19152,0.00951541,0.230826
0.0241111,0.0287398,0.19152,0.00951541,0.230826
0.0241111,0.0287398,0.19152,0.00951541,0.230826
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0238955,0.0318967,0.255524,0.0201903,0.144228
0.0172817,0.0245676,0.523177,0.0315257,0.156649
0.0172817,0.0245676,0.523177,0.0315257,0.156649
0.0142647,0.0213144,0.902672,0.0272691,0.199614
0.0142647,0.0213144,0.902672,0.0272691,0.199614
0.0142647,0.0213144,0.902672,0.0272691,0.199614
0.0142647,0.0213144,0.902672,0.0272691,0.199614
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0111607,0.0306977,0.418318,0.0350505,0.247069
0.0115804,0.0263556,0.472435,0.0329268,0.216921
0.0115804,0.0263556,0.472435,0.0329268,0.216921
0.0115804,0.0263556,0.472435,0.0329268,0.216921
0.0115804,0.0263556,0.472435,0.0329268,0.216921
