id,time_of_infected,time_of_removed,position_x,position_y,susceptibility level,infectivity level,cluster_id
215,0,0,13.7159,29.5803,0.386796,1,0
216,0,0,14.2624,25.2882,0.390813,1,0
217,0,0,16.6902,23.7851,0.193343,1,0
218,0,0,16.7115,25.8923,0.674018,1,0
219,0,0,19.4302,22.0405,0.726597,1,0
220,0,0,13.8202,25.8331,0.205239,1,0
221,0,0,16.0711,22.4081,0.274408,1,0
222,0,0,14.3832,29.4778,0.419638,1,0
223,0,0,11.7783,23.0892,0.162969,1,0
224,0,0,17.9879,27.3283,0.193115,1,0
225,0,0,24.0397,13.9403,0.169218,1,0
226,0,0,16.0854,8.40737,0.359906,1,0
227,0,0,17.0056,11.9936,0.59502,1,0
228,0,0,16.838,9.93895,0.348627,1,0
229,0,0,22.5852,10.2531,0.0433146,1,0
230,0,0,16.0623,9.23639,0.390942,1,0
231,0,0,15.5391,9.24851,0.544502,1,0
232,0,0,17.4823,9.98217,0.256793,1,0
233,0,0,21.8682,7.66593,0.403123,1,0
234,0,0,15.8121,13.7871,0.929297,1,0
235,0,0,20.8804,12.2868,0.451634,1,0
236,0,0,18.1695,6.62148,0.310842,1,0
237,0,0,13.6584,9.20598,0.220926,1,0
238,0,0,16.9847,9.29014,0.145975,1,0
239,0,0,19.2119,6.59254,0.700827,1,0
240,0,0,20.1195,11.8723,0.253753,1,0
241,0,0,17.0269,9.33448,0.606736,1,0
242,0,0,17.6953,8.3829,0.0385165,1,0
243,0,0,19.4564,15.0047,0.491406,1,0
244,0,0,19.6526,9.52716,0.540699,1,0
245,0,0,15.0752,8.90432,0.463172,1,0
246,0,0,14.203,9.36832,0.479926,1,0
247,0,0,20.967,11.9936,0.520624,1,0
248,0,0,19.8206,11.284,0.490862,1,0
249,0,0,16.1795,12.0447,0.2067,1,0
250,0,0,14.7491,9.13126,0.354533,1,0
251,0,0,18.8148,10.921,0.685376,1,0
252,0,0,16.9991,13.1879,0.115458,1,0
253,0,0,15.028,8.64357,0.469559,1,0
254,0,0,12.3304,3.64948,0.185343,1,0
255,0,0,20.3219,19.6426,0.653378,1,0
256,0,0,16.4581,5.1672,0.422104,1,0
257,0,0,19.1453,10.2748,0.168451,1,0
258,0,0,15.9884,8.47238,0.610538,1,0
259,0,0,19.9844,12.7699,0.395195,1,0
260,0,0,14.608,7.89764,0.226722,1,0
261,0,0,16.4878,9.41371,0.48843,1,0
262,0,0,20.8233,7.60287,0.596635,1,0
263,0,0,18.7999,6.17095,0.376947,1,0
264,0,0,11.4991,13.0867,0.455443,1,0
265,0,0,15.036,9.97543,0.458047,1,0
266,0,0,23.4634,6.07014,0.773299,1,0
267,0,0,19.0006,8.97606,0.165534,1,0
268,0,0,21.8522,10.4297,0.521119,1,0
269,0,0,15.1097,5.64512,0.606015,1,0
270,0,0,22.478,10.0533,0.107945,1,0
271,0,0,16.0017,9.02138,0.364553,1,0
272,0,0,18.639,13.7064,0.563951,1,0
273,0,0,20.4541,10.6632,0.134538,1,0
274,0,0,19.785,8.16425,0.293243,1,0
275,0,0,20.7207,1.40137,0.376472,1,0
276,0,0,23.7189,9.5322,0.03883,1,0
277,0,0,19.792,9.42251,0.545827,1,0
278,0,0,17.3856,9.84654,0.384742,1,0
279,0,0,17.7574,4.32814,0.609049,1,0
280,0,0,19.5618,7.78259,0.223817,1,0
281,0,0,17.4147,9.05782,0.32693,1,0
282,0,0,18.2667,7.09871,0.194722,1,0
283,0,0,21.5146,11.7088,0.591639,1,0
284,0,0,20.2613,20.2482,0.713333,1,0
285,0,0,20.2276,5.19886,0.391666,1,0
286,0,0,19.591,8.15497,0.6063,1,0
287,0,0,14.149,9.6219,0.107447,1,0
288,0,0,20.0469,16.5487,0.117857,1,0
289,0,0,14.802,12.6872,0.668969,1,0
290,0,0,20.6126,10.7177,0.453838,1,0
291,0,0,14.7737,6.88231,0.197478,1,0
292,0,0,16.4493,1.89433,0.516437,1,0
293,0,0,20.5077,7.61746,0.383497,1,0
294,0,0,18.7403,5.78626,0.163934,1,0
295,0,0,19.0814,11.8263,0.613073,1,0
296,0,0,23.264,9.71147,0.335775,1,0
297,0,0,20.0202,9.17229,0.800617,1,0
298,0,0,17.9526,10.2465,0.588993,1,0
299,0,0,10.0771,9.22811,0.26291,1,0
