a0,a1,beta,
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,8.17758
8.17758,0.0294458,38.6326,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
