a0,a1,beta,epsilon
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.082789,0.0255059,1.40253,0.00246256
0.082789,0.0255059,1.40253,0.00246256
0.082789,0.0255059,1.40253,0.00246256
0.082789,0.0255059,1.40253,0.00246256
0.082789,0.0255059,1.40253,0.00246256
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0825111,0.0237553,1.36019,0.00178737
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0813126,0.00983862,1.19616,0.000707684
0.0999268,0.0323819,1.36572,0.00200232
0.0999268,0.0323819,1.36572,0.00200232
0.0999268,0.0323819,1.36572,0.00200232
0.0999268,0.0323819,1.36572,0.00200232
0.0999268,0.0323819,1.36572,0.00200232
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.10201,0.00911275,1.27088,0.000674398
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.0817138,0.0508682,1.41255,0.00123329
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.104091,0.0460746,1.59014,0.00375013
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0740574,0.0725012,1.30519,0.00185953
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0701765,0.0732187,1.19961,0.000647251
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.0898955,0.0735366,1.32837,0.00109678
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.108388,0.0370054,1.47418,0.00229394
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0960409,0.054051,1.41966,0.00295511
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
0.0898402,0.0703304,1.36664,0.00135339
