a0,a1,beta,tilde_beta
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0683607,0.0445136,1.41263,2.89835
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0503559,0.0555552,1.17947,2.74161
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0564031,0.0501425,1.33824,2.81708
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.0482703,0.0660357,1.4702,2.74648
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.05002,0.0498093,1.30242,2.54002
0.0694479,0.0401244,1.26459,3.08157
