a0,a1,beta
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.00631168,1.20152,7.42896
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.0256214,0.831679,7.24436
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.061395,0.523098,6.78642
0.0837931,0.693979,6.17028
