a0,a1,beta,
2.84828,1.42685,1.58961,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.30595
3.30595,1.46745,1.58393,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,3.05926
3.05926,1.99553,1.5766,2.94199
2.94199,2.26454,1.68781,2.94199
2.94199,2.26454,1.68781,2.94199
2.94199,2.26454,1.68781,2.94199
2.94199,2.26454,1.68781,2.94199
2.94199,2.26454,1.68781,2.94199
2.94199,2.26454,1.68781,2.94199
2.94199,2.26454,1.68781,2.94199
2.94199,2.26454,1.68781,2.94199
2.94199,2.26454,1.68781,2.94199
2.94199,2.26454,1.68781,1.98605
1.98605,2.80038,1.51012,1.98605
1.98605,2.80038,1.51012,1.98605
1.98605,2.80038,1.51012,1.98605
1.98605,2.80038,1.51012,1.98605
1.98605,2.80038,1.51012,1.98605
1.98605,2.80038,1.51012,2.40786
2.40786,2.78098,1.57361,2.40786
2.40786,2.78098,1.57361,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,2.63404
2.63404,3.19809,1.581,3.06423
3.06423,3.97591,1.60523,3.06423
3.06423,3.97591,1.60523,3.06423
3.06423,3.97591,1.60523,3.06423
3.06423,3.97591,1.60523,3.06423
3.06423,3.97591,1.60523,3.1405
3.1405,3.22402,1.66416,3.1405
3.1405,3.22402,1.66416,3.1405
3.1405,3.22402,1.66416,3.1405
3.1405,3.22402,1.66416,3.1405
3.1405,3.22402,1.66416,3.41314
3.41314,2.98895,1.62794,3.41314
3.41314,2.98895,1.62794,3.41314
3.41314,2.98895,1.62794,3.41314
3.41314,2.98895,1.62794,3.41314
3.41314,2.98895,1.62794,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.35119
3.35119,3.52188,1.68877,3.03873
3.03873,3.3631,1.68886,3.03873
3.03873,3.3631,1.68886,3.03873
3.03873,3.3631,1.68886,3.03873
3.03873,3.3631,1.68886,3.03873
3.03873,3.3631,1.68886,3.03873
3.03873,3.3631,1.68886,2.6699
