a0,a1,beta,tilde_beta
0.0297142,0.343247,2.0172,5.33925
0.0297142,0.343247,2.0172,5.33925
0.0297142,0.343247,2.0172,5.33925
0.0297142,0.343247,2.0172,5.33925
0.106744,0.353232,2.03783,5.02061
0.106744,0.353232,2.03783,5.02061
0.106744,0.353232,2.03783,5.02061
0.106744,0.353232,2.03783,5.02061
0.106744,0.353232,2.03783,5.02061
0.106744,0.353232,2.03783,5.02061
0.0935067,0.295416,1.96634,4.53939
0.0935067,0.295416,1.96634,4.53939
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.0778421,0.26653,1.93039,6.55323
0.080128,0.245048,2.29603,6.34951
0.080128,0.245048,2.29603,6.34951
0.080128,0.245048,2.29603,6.34951
0.080128,0.245048,2.29603,6.34951
0.080128,0.245048,2.29603,6.34951
0.080128,0.245048,2.29603,6.34951
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0373783,0.310179,2.36341,4.70672
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0564184,0.30775,2.80836,2.98898
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0602516,0.330308,2.1121,2.98633
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0570394,0.354497,2.27922,6.83258
0.0596228,0.377448,2.28041,6.00786
0.0733976,0.33854,2.59089,5.14461
0.0733976,0.33854,2.59089,5.14461
0.0733976,0.33854,2.59089,5.14461
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
