a0,a1,beta,epsilon,delta
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0201572,0.0227359,0.498457,0.0166413,0.42161
0.0150075,0.0353843,0.147214,0.0134061,0.669266
0.0150075,0.0353843,0.147214,0.0134061,0.669266
0.00687688,0.0419366,0.583688,0.0233696,0.537961
0.00687688,0.0419366,0.583688,0.0233696,0.537961
0.00687688,0.0419366,0.583688,0.0233696,0.537961
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.00885485,0.0323706,0.79063,0.0168645,0.331771
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0145567,0.0363033,0.377895,0.0178639,0.420282
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.0112793,0.0432646,0.115963,0.0177091,0.542513
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.000905209,0.0348899,0.466281,0.0197597,0.614194
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.0111304,0.0417997,0.154025,0.0151125,0.551537
0.01245,0.0524442,0.00954761,0.0196679,0.31094
0.01245,0.0524442,0.00954761,0.0196679,0.31094
0.01245,0.0524442,0.00954761,0.0196679,0.31094
0.01245,0.0524442,0.00954761,0.0196679,0.31094
0.01245,0.0524442,0.00954761,0.0196679,0.31094
0.01245,0.0524442,0.00954761,0.0196679,0.31094
0.01245,0.0524442,0.00954761,0.0196679,0.31094
0.01245,0.0524442,0.00954761,0.0196679,0.31094
0.00602539,0.0502176,0.242515,0.0281732,0.422
0.00602539,0.0502176,0.242515,0.0281732,0.422
0.00602539,0.0502176,0.242515,0.0281732,0.422
0.00602539,0.0502176,0.242515,0.0281732,0.422
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
