a0,a1,beta,tilde_beta,delta
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0418503,0.0692862,1.19204,3.2401,1.35529
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
0.0443558,0.0554772,1.1389,3.35571,1.25206
